Dates,Title,Agency,PIs
2024,R01 - Improved craniofacial growth standards: skeletal maturation-based models,NIH NIDCR,"Richard Sherwood (PI), Dana Duren (PI), \textbf{Kevin Middleton} (Co-I). (\$2,746,185)"
2024,R01 - Maturation-based modeling of segmental spinal growth,NIH NIAMS,"Dana Duren (PI), \textbf{Kevin Middleton} (Co-I), John Shepherd (CO-I), Babette Zemel (Co-I). (\$3,883,957)"
